schoolwebsite,domain,schdomain,ukdomain,urns,dqi
www.gainsboroughinfantschool.net,gainsboroughinfantschool.net,0,0,{111142},0
www.galleycommoninfschool.co.uk/,galleycommoninfschool.co.uk,0,1,{125539},0
www.galleywood.essex.sch.uk/,galleywood.essex.sch.uk,1,1,{114887},0
www.galliardprimaryschool.co.uk/,galliardprimaryschool.co.uk,0,1,{101991},0
www.galmpton-primary.torbay.sch.uk/,galmpton-primary.torbay.sch.uk,1,1,{113458},0
www.gamlingaymiddle.cambs.sch.uk,gamlingaymiddle.cambs.sch.uk,1,1,{110894},0
www.gamlingaymiddle.cambs.sch.uk/,gamlingaymiddle.cambs.sch.uk,1,1,{137879},0
www.ganton.eril.net/,ganton.eril.net,0,0,{118149},0
www.gardenfields.herts.sch.uk,gardenfields.herts.sch.uk,1,1,{117139},0
www.gardenprimary.co.uk,gardenprimary.co.uk,0,1,{132168},0
www.gardnerslane.org.uk,gardnerslane.org.uk,0,1,{131249},0
www.garforth.leeds.sch.uk/index.htm,garforth.leeds.sch.uk,1,1,{108089},0
www.gargrave.n-yorks.sch.uk/,gargrave.n-yorks.sch.uk,1,1,{121599},0
www.garibaldi.org.uk/,garibaldi.org.uk,0,1,{122830},0
www.garlinge-infant.kent.sch.uk,garlinge-infant.kent.sch.uk,1,1,{118409},0
www.garlinge-junior.com,garlinge-junior.com,0,0,{118408},0
www.garrattpark.wandsworth.sch.uk/,garrattpark.wandsworth.sch.uk,1,1,{101103},0
www.garsington.oxon.sch.uk,garsington.oxon.sch.uk,1,1,"{123123,144433}",0
www.garstonmanor.herts.sch.uk/,garstonmanor.herts.sch.uk,1,1,{117667},0
www.garthhillcollege.com,garthhillcollege.com,0,0,{110069},0
www.garthschool.co.uk,garthschool.co.uk,0,1,"{120752,142665}",0
www.gartree.leics.sch.uk,gartree.leics.sch.uk,1,1,"{120262,138155}",0
www.gartree.lincs.sch.uk/,gartree.lincs.sch.uk,1,1,{120705},0
www.garvestone.norfolk.sch.uk,garvestone.norfolk.sch.uk,1,1,"{144315,120810}",0
www.garwayprimaryschool.co.uk,garwayprimaryschool.co.uk,0,1,{116677},0
www.gateacre.liverpool.sch.uk,gateacre.liverpool.sch.uk,1,1,{104700},0
www.gatefordpark.com/,gatefordpark.com,0,0,{131722},0
www.gatehouse.devon.sch.uk/,gatehouse.devon.sch.uk,1,1,{113244},0
www.gateshead.ac.uk/,gateshead.ac.uk,0,1,{130551},0
www.gateway.ac.uk/,gateway.ac.uk,0,1,{130755},0
www.gateway.oxon.sch.uk,gateway.oxon.sch.uk,1,1,{123016},0
www.gauntscommon.dorset.sch.uk,gauntscommon.dorset.sch.uk,1,1,{113761},0
www.gawsworth.cheshire.sch.uk,gawsworth.cheshire.sch.uk,1,1,"{144833,111025}",0
www.gawthorpe.lancsngfl.ac.uk,gawthorpe.lancsngfl.ac.uk,0,1,{119756},0
www.gayhurst.hackney.sch.uk/,gayhurst.hackney.sch.uk,1,1,{130303},0
www.gaynes.havering.sch.uk/,gaynes.havering.sch.uk,1,1,{102344},0
www.gbhs.co.uk/,gbhs.co.uk,0,1,{136904},0
www.gch.org.uk/,gch.org.uk,0,1,{138313},0
www.gdst.net/birkenheadhigh,gdst.net,0,0,{105124},0
www.gdst.net/nhehs/,gdst.net,0,0,{101954},0
www.geariesprimaryschool.co.uk,geariesprimaryschool.co.uk,0,1,{133934},0
www.geddingtonschool.co.uk,geddingtonschool.co.uk,0,1,{121972},0
www.gemsfirstpointschool-dubai.com/,gemsfirstpointschool-dubai.com,0,0,{144379},0
www.gemsmetropoleschool-dubai.com/,gemsmetropoleschool-dubai.com,0,0,{144790},0
www.gemstwickenhamprimary.org/,gemstwickenhamprimary.org,0,0,{142122},0
www.gemswps.com/about-us/,gemswps.com,0,0,{141427},0
www.gentleshaw.staffs.sch.uk,gentleshaw.staffs.sch.uk,1,1,{124210},0
www.geocities.com/heartseasehigh/,geocities.com,0,0,{121174},0
www.geocities.com/princesend/index.html,geocities.com,0,0,{103971},0
www.geoffreychaucer.southwark.sch.uk/,geoffreychaucer.southwark.sch.uk,1,1,{100847},0
www.george-eliot.warwickshire.sch.uk,george-eliot.warwickshire.sch.uk,1,1,{137079},0
www.georgegreens.com/,georgegreens.com,0,0,{100974},0
www.georgesalter.com/,georgesalter.com,0,0,{135234},0
www.george-spencer.notts.sch.uk/,george-spencer.notts.sch.uk,1,1,{136291},0
www.georgestreet.herts.sch.uk/,georgestreet.herts.sch.uk,1,1,{117106},0
www.georgetomlinsonprimary.com,georgetomlinsonprimary.com,0,0,{103075},0
www.georgiangardens.w-sussex.sch.uk/,georgiangardens.w-sussex.sch.uk,1,1,{125959},0
www.germanderpark.com,germanderpark.com,0,0,{110375},0
www.gerrans.cornwall.sch.uk/,gerrans.cornwall.sch.uk,1,1,"{142662,111860}",0
www.gerrardscross.bucks.sch.uk,gerrardscross.bucks.sch.uk,1,1,"{137774,110436}",0
www.geschool.ch/,geschool.ch,0,0,{141428},0
www.ggsg.org.uk/,ggsg.org.uk,0,1,{118787},0
www.ghyllside.cumbria.sch.uk,ghyllside.cumbria.sch.uk,1,1,"{112187,138744}",0
www.gibsideschool.org/,gibsideschool.org,0,0,{131213},0
www.gideaparkcollege.co.uk/,gideaparkcollege.co.uk,0,1,{102355},0
www.giffardpark.milton-keynes.sch.uk,giffardpark.milton-keynes.sch.uk,1,1,{110381},0
www.giggleswick-pri.n-yorks.sch.uk/,giggleswick-pri.n-yorks.sch.uk,1,1,{121392},0
www.gig-mill.dudley.sch.uk/,gig-mill.dudley.sch.uk,1,1,{103822},0
www.gilberdykeprimary.co.uk,gilberdykeprimary.co.uk,0,1,{117844},0
www.gilbertinglefield.beds.sch.uk,gilbertinglefield.beds.sch.uk,1,1,{109667},0
www.gilbertstoneprimary.com,gilbertstoneprimary.com,0,0,{103201},0
www.gilesacademy.co.uk/,gilesacademy.co.uk,0,1,{136282},0
www.gilesjm.herts.sch.uk,gilesjm.herts.sch.uk,1,1,{117306},0
www.gillamoor.n-yorks.sch.uk/,gillamoor.n-yorks.sch.uk,1,1,{121493},0
www.gillibrand.lancsngfl.ac.uk,gillibrand.lancsngfl.ac.uk,0,1,{119324},0
www.gillingham.dorset.sch.uk/,gillingham.dorset.sch.uk,1,1,{113882},0
www.gillingham.norfolk.sch.uk,gillingham.norfolk.sch.uk,1,1,"{121140,141778}",0
www.gillinghamprimary.dorset.sch.uk/,gillinghamprimary.dorset.sch.uk,1,1,{113666},0
www.gillingstool.org.uk,gillingstool.org.uk,0,1,{109126},0
www.gillotts.oxon.sch.uk,gillotts.oxon.sch.uk,1,1,{123240},0
www.gilmortonchandler.leics.sch.uk,gilmortonchandler.leics.sch.uk,1,1,"{139854,120203}",0
www.gilmourinfants.co.uk,gilmourinfants.co.uk,0,1,{104544},0
www.gilmourjuniors.com,gilmourjuniors.com,0,0,{104543},0
www.gilslandschool.co.uk,gilslandschool.co.uk,0,1,{112418},0
www.gipsyhillfederation.org.uk/,gipsyhillfederation.org.uk,0,1,"{143234,100595}",0
www.girnhill.wakefield.sch.uk,girnhill.wakefield.sch.uk,1,1,"{144573,108168}",0
www.girtonglebe.com,girtonglebe.com,0,0,{110610},0
www.gladesmore.com/,gladesmore.com,0,0,{102157},0
www.glade.w-sussex.sch.uk,glade.w-sussex.sch.uk,1,1,{125879},0
www.gladstoneschool.co.uk,gladstoneschool.co.uk,0,1,{110757},0
www.gladstone.stoke.sch.uk,gladstone.stoke.sch.uk,1,1,"{124031,142991}",0
www.glaisdale.n-yorks.sch.uk/,glaisdale.n-yorks.sch.uk,1,1,{121294},0
www.glanyrafonprm.cardiff.sch.uk,glanyrafonprm.cardiff.sch.uk,1,1,{401639},0
www.glapthornschool.ik.org,glapthornschool.ik.org,0,0,{121973},0
www.glasshouses.n-yorks.sch.uk/,glasshouses.n-yorks.sch.uk,1,1,{121404},0
www.glastonburythorn.co.uk,glastonburythorn.co.uk,0,1,{110400},0
www.glebe.hillingdon.sch.uk,glebe.hillingdon.sch.uk,1,1,{102380},0
www.glebe-jun.essex.sch.uk/,glebe-jun.essex.sch.uk,1,1,{114971},0
www.glebeland.norfolk.sch.uk,glebeland.norfolk.sch.uk,1,1,"{143066,121014}",0
www.glebelands.surrey.sch.uk,glebelands.surrey.sch.uk,1,1,{125259},0
www.glebe.stoke.sch.uk,glebe.stoke.sch.uk,1,1,{124004},0
www.gleed.lincs.sch.uk,gleed.lincs.sch.uk,1,1,{120712},0
www.glemsfordcpschool.co.uk/,glemsfordcpschool.co.uk,0,1,{124535},0
www.glenbrookprimary.com/,glenbrookprimary.com,0,0,"{143237,100601}",0
www.glendale.northumberland.sch.uk/,glendale.northumberland.sch.uk,1,1,{122352},0
www.glenfield.southampton.sch.uk,glenfield.southampton.sch.uk,1,1,{116115},0
www.glenmere.net/,glenmere.net,0,0,"{139855,119962}",0
www.glenmoor.bournemouth.sch.uk,glenmoor.bournemouth.sch.uk,1,1,{113871},0
www.glenmoor.org.uk/,glenmoor.org.uk,0,1,{140008},0
www.glenpark.plymouth.sch.uk,glenpark.plymouth.sch.uk,1,1,"{113326,143067}",0
www.glenthorne.sutton.sch.uk/,glenthorne.sutton.sch.uk,1,1,{136914},0
www.gliacademy.org.uk/,gliacademy.org.uk,0,1,{137482},0
www.glory-farm.oxon.sch.uk,glory-farm.oxon.sch.uk,1,1,{123012},0
www.gloucesteracademy.com/,gloucesteracademy.com,0,0,{136199},0
www.glusburn.n-yorks.sch.uk/,glusburn.n-yorks.sch.uk,1,1,{121447},0
www.glynegap.e-sussex.sch.uk,glynegap.e-sussex.sch.uk,1,1,{114686},0
www.glynegap.org,glynegap.org,0,0,{139521},0
www.glynne.dudley.sch.uk/,glynne.dudley.sch.uk,1,1,{103832},0
www.glynschool.org/,glynschool.org,0,0,{136534},0
www.glyn.surrey.sch.uk,glyn.surrey.sch.uk,1,1,{125304},0
www.goathland.n-yorks.sch.uk/,goathland.n-yorks.sch.uk,1,1,{121296},0
www.godalming-junior.surrey.sch.uk,godalming-junior.surrey.sch.uk,1,1,{125044},0
www.goddardpark.co.uk,goddardpark.co.uk,0,1,{136293},0
www.goddardpark-pri.swindon.sch.uk,goddardpark-pri.swindon.sch.uk,1,1,{126282},0
www.godinton.kent.sch.uk,godinton.kent.sch.uk,1,1,"{141754,118546}",0
www.godmanchestercommunity.co.uk,godmanchestercommunity.co.uk,0,1,{138029},0
www.godmanchesterschool.co.uk,godmanchesterschool.co.uk,0,1,{110677},0
www.godolphin-jun.slough.sch.uk,godolphin-jun.slough.sch.uk,1,1,{109917},0
www.godwinprimary.co.uk,godwinprimary.co.uk,0,1,{130919},0
www.goffs.herts.sch.uk/,goffs.herts.sch.uk,1,1,"{137532,117587}",0
www.goffsoak.herts.sch.uk/,goffsoak.herts.sch.uk,1,1,{117243},0
www.golbornehigh.wigan.sch.uk/,golbornehigh.wigan.sch.uk,1,1,{106525},0
www.golborne.rbkc.sch.uk,golborne.rbkc.sch.uk,1,1,{100472},0
www.golbornesaintthomas.wigan.sch.uk,golbornesaintthomas.wigan.sch.uk,1,1,{106487},0
www.gold.ac.uk/,gold.ac.uk,0,1,{133877},0
www.goldenhill.stoke.sch.uk,goldenhill.stoke.sch.uk,1,1,{142992},0
www.goldershillschool.co.uk,goldershillschool.co.uk,0,1,{101377},0
www.goldfield.herts.sch.uk,goldfield.herts.sch.uk,1,1,{117274},0
www.goldingtonacademy.org.uk,goldingtonacademy.org.uk,0,1,{136552},0
www.goldington.beds.sch.uk,goldington.beds.sch.uk,1,1,{109642},0
www.goldsboroughprimary.co.uk/,goldsboroughprimary.co.uk,0,1,{121562},0
www.goldsmith.walsall.sch.uk/,goldsmith.walsall.sch.uk,1,1,{138591},0
www.goldsworthprimaryschool.ik.org,goldsworthprimaryschool.ik.org,0,0,{125119},0
www.goldthornpark.com,goldthornpark.com,0,0,{104331},0
www.gomersalmiddle.org.uk/,gomersalmiddle.org.uk,0,1,{107781},0
www.gomersalstmarys.co.uk,gomersalstmarys.co.uk,0,1,{107747},0
www.goodrington.org/,goodrington.org,0,0,{102356},0
www.goodshepherd.lewisham.sch.uk/,goodshepherd.lewisham.sch.uk,1,1,{100722},0
www.goodwayn.bham.sch.uk,goodwayn.bham.sch.uk,1,1,{103128},0
www.goonhavern.cornwall.sch.uk/,goonhavern.cornwall.sch.uk,1,1,{111864},0
www.goosegreenprimaryschool.org,goosegreenprimaryschool.org,0,0,{132022},0
www.goostrey.cheshire.sch.uk,goostrey.cheshire.sch.uk,1,1,{111171},0
www.gordanoschool.org.uk/,gordanoschool.org.uk,0,1,{136856},0
www.gordonbrock.lewisham.sch.uk/,gordonbrock.lewisham.sch.uk,1,1,{100684},0
www.gordoninf.medway.sch.uk,gordoninf.medway.sch.uk,1,1,{118332},0
www.gordonprimaryschool.co.uk/,gordonprimaryschool.co.uk,0,1,{102808},0
www.gordons.surrey.sch.uk,gordons.surrey.sch.uk,1,1,"{125303,139151}",0
www.gorefield.cambs.sch.uk,gorefield.cambs.sch.uk,1,1,{110634},0
www.goring.oxon.sch.uk,goring.oxon.sch.uk,1,1,{123201},0
www.goring.w-sussex.sch.uk/,goring.w-sussex.sch.uk,1,1,{126045},0
www.gorsehillinfant.ik.org,gorsehillinfant.ik.org,0,0,{126219},0
www.gorsehill-jun.swindon.sch.uk,gorsehill-jun.swindon.sch.uk,1,1,{126218},0
www.gorseland.net,gorseland.net,0,0,{124625},0
www.gorsleygoffsprimary.co.uk,gorsleygoffsprimary.co.uk,0,1,{116814},0
www.gosbecks.co.uk,gosbecks.co.uk,0,1,{114742},0
www.gosbertonacademy.co.uk,gosbertonacademy.co.uk,0,1,{139192},0
www.gosberton.lincs.sch.uk,gosberton.lincs.sch.uk,1,1,{120411},0
www.gosfield-pri.essex.sch.uk,gosfield-pri.essex.sch.uk,1,1,{114727},0
www.gosford-hill.oxon.sch.uk/,gosford-hill.oxon.sch.uk,1,1,"{123241,138897}",0
www.gosforthacademy.org.uk/,gosforthacademy.org.uk,0,1,{136348},0
