domain,schdomain,ukdomain,county,urns
194.128.19.70,0,0,,{109478}
195.173.130.83,0,0,,{103942}
3dimensions.org.uk,0,1,,{134909}
3lxschool.com,0,0,,{142512}
448-northumberland.eschools.co.uk,0,1,,{122254}
5pfl.com,0,0,,{133554}
9312597-public.sharepoint.com,0,0,,{139755}
aan.norfolk.sch.uk,1,1,norfolk,{140534}
aatjewell.org,0,0,,{139692}
aatmagna.org,0,0,,{139711}
abacus-cfbt.org,0,0,,{139837}
abacuscollege.co.uk,0,1,,{138363}
abacusprimaryschool.co.uk,0,1,,{133312}
abbastemplecombe.co.uk,0,1,,{123775}
abberleyhall.co.uk,0,1,,{117011}
abberley.worcs.sch.uk,1,1,worcs,{116780}
abbeyceacademy.co.uk,0,1,,{140190}
abbeycofeinfants.ik.org,0,0,,{125654}
abbeycollege.cambs.sch.uk,1,1,cambs,{137377}
abbeycourt.medway.sch.uk,1,1,medway,{119052}
abbeydalegrange.sheffield.sch.uk,1,1,sheffield,{107137}
abbeyfed.darlington.sch.uk,1,1,darlington,"{136988,136989}"
abbeyfederation.co.uk,0,1,,"{103929,103930}"
abbeyfield.northants.sch.uk,1,1,northants,{122077}
abbeyfieldschool.org.uk,0,1,,{138858}
abbeyfields.firstschool.org.uk,0,1,,"{122245,144181}"
abbeyfield.wilts.sch.uk,1,1,wilts,{131969}
abbeygatesprimaryschool.co.uk,0,1,,{122659}
abbeygrangeacademy.co.uk,0,1,,{137083}
abbeygrangeschool.co.uk,0,1,,{108101}
abbeygreen.org,0,0,,{107188}
abbey.herts.sch.uk,1,1,herts,{117449}
abbeyheyprimary.org.uk,0,1,,{139404}
abbeyhillprimaryandnurseryschool.co.uk,0,1,,{136006}
abbeyhill.stockton.sch.uk,1,1,stockton,{111787}
abbeyhill.stoke.sch.uk,1,1,stoke,{124500}
abbeyhultonprimary.org.uk,0,1,,{123989}
abbey.kent.sch.uk,1,1,kent,{118831}
abbeylaneprimaryschool.com,0,0,,{106982}
abbey.leicester.sch.uk,1,1,leicester,{120063}
abbeymanorcollege.com,0,0,,{130856}
abbeymead.gloucs.sch.uk,1,1,gloucs,{115601}
abbeymeads.swindon.sch.uk,1,1,swindon,{131573}
abbeymiddleschool.co.uk,0,1,,{109654}
abbeyparkacademy.org,0,0,,{140172}
abbeyparkfirstandnurseryschool.co.uk,0,1,,{116716}
abbeyparkmiddle.worcs.sch.uk,1,1,worcs,{116774}
abbeyparkprimary.org.uk,0,1,,{107498}
abbeyprimary.co.uk,0,1,,{121916}
abbeyprimaryschool.co.uk,0,1,,{133280}
abbeyrc.bham.sch.uk,1,1,bham,{103422}
abbeyroadprimary.co.uk,0,1,,{122599}
abbeyschoolfaversham.co.uk,0,1,,{137154}
abbeyschool.org.uk,0,1,,{113850}
abbeysprimary.milton-keynes.sch.uk,1,1,milton-keynes,{110401}
abbey.surrey.sch.uk,1,1,surrey,{125476}
abbey.sutton.sch.uk,1,1,sutton,{102967}
abbeyvillage.lancs.sch.uk,1,1,lancs,{119307}
abbey.walsall.sch.uk,1,1,walsall,{104168}
abbeywoodnurseryschool.co.uk,0,1,,{100099}
abbeywoodsacademy.oxon.sch.uk,1,1,oxon,{139709}
abbeywoodschool.com,0,0,,"{109295,139067}"
abbeywood.worcs.sch.uk,1,1,worcs,"{131275,142541}"
abblanch.com,0,0,,{104705}
abbotbeyne.staffs.sch.uk,1,1,staffs,{124449}
abbotsbury.merton.sch.uk,1,1,merton,{102649}
abbotsfarm.co.uk,0,1,,{125580}
abbotsfarm-inf.org,0,0,,{125573}
abbotsfield.hillingdon.sch.uk,1,1,hillingdon,{102449}
abbotsfordschool.org,0,0,,{126168}
abbotsgreen.co.uk,0,1,,{134362}
abbots-hall.co.uk,0,1,,{139605}
abbotshall.suffolk.sch.uk,1,1,suffolk,{124631}
abbotshill.herts.sch.uk,1,1,herts,{117600}
abbotskerswell-primary.devon.sch.uk,1,1,devon,{113183}
abbotslangley.herts.sch.uk,1,1,herts,{117083}
abbotsmede.peterborough.sch.uk,1,1,peterborough,{110779}
abbotsweld.essex.sch.uk,1,1,essex,{115003}
abbotswood.hants.sch.uk,1,1,hants,{116482}
abbotswoodprimary.org.uk,0,1,,{132199}
abbott.manchester.sch.uk,1,1,manchester,{105387}
abbottsann.hants.sch.uk,1,1,hants,{116266}
abbscross.havering.sch.uk,1,1,havering,{102352}
abbscross.net,0,0,,{136663}
abelsmith.herts.sch.uk,1,1,herts,{117111}
abercrombie.derbyshire.sch.uk,1,1,derbyshire,{112670}
aberdourschool.co.uk,0,1,,{125317}
aberfordprimaryschool.co.uk,0,1,,{107985}
abhps.com,0,0,,{135867}
abingdonhouseschool.co.uk,0,1,,{134911}
abingdon.org.uk,0,1,,{123312}
abingdonprimary.org.uk,0,1,,{131519}
abingdon.stockport.sch.uk,1,1,stockport,{106074}
abingercommon.org.uk,0,1,,{124934}
abington.leics.sch.uk,1,1,leics,{120311}
abingtonvaleprimary.ik.org,0,0,,{121923}
abingtonvaleprimary.org.uk,0,1,,{138952}
abkettleby.leics.sch.uk,1,1,leics,{140696}
aboyne.herts.sch.uk,1,1,herts,{117141}
abprimary.bham.sch.uk,1,1,bham,{140889}
abrahamdarbyacademy.org.uk,0,1,,{135582}
abrahamdarbyschool.taw.org.uk,0,1,,{123596}
abrahamguestacademy.com,0,0,,{137210}
abrahamguest.wigan.sch.uk,1,1,wigan,{106526}
abrahammoss.manchester.sch.uk,1,1,manchester,{105560}
abramsaintjohns.wigan.sch.uk,1,1,wigan,{141641}
abram.wigan.sch.uk,1,1,wigan,{106469}
acacias.manchester.sch.uk,1,1,manchester,{105401}
academy360.co.uk,0,1,,{135622}
academyatworden.co.uk,0,1,,{139290}
acb.beds.sch.uk,1,1,beds,{139411}
accrington-academy.org,0,0,,{135649}
acesch.co.uk,0,1,,{139328}
aceschools.net,0,0,,"{136155,142835}"
achievingaspirations.co.uk,0,1,,{141492}
acklamgrange.org.uk,0,1,,{111751}
acklam.outwood.com,0,0,,{139823}
acklamwhin.co.uk,0,1,,{111586}
acklington.northumberland.sch.uk,1,1,northumberland,{122270}
acktonpastures.com,0,0,,"{144331,108241}"
aclandburghley.camden.sch.uk,1,1,camden,{100053}
acle.norfolk.sch.uk,1,1,norfolk,"{121213,138758}"
acleprimary.norfolk.sch.uk,1,1,norfolk,{121024}
acocksgreen.bham.sch.uk,1,1,bham,"{139443,134280}"
acocksgreen-jun.bham.sch.uk,1,1,bham,{103151}
acomb.northumberland.sch.uk,1,1,northumberland,{122170}
acombprimary.org.uk,0,1,,{121271}
aconburycentre.co.uk,0,1,,{130992}
acornacademycornwall.org.uk,0,1,,{139745}
acornacademy.org,0,0,,"{141525,141524,141523,141527}"
acorncare.co.uk,0,1,,{137098}
acornfederation.co.uk,0,1,,"{113427,113439}"
acornhousecollege.com,0,0,,{131982}
acorns.lancs.sch.uk,1,1,lancs,{135347}
acornsprimary.co.uk,0,1,,"{141280,130873}"
acorns.surrey.sch.uk,1,1,surrey,{125134}
acps.camden.sch.uk,1,1,camden,{100037}
acrehall.trafford.sch.uk,1,1,trafford,{138977}
acreriggacademy.co.uk,0,1,,{138554}
acrerigg-inf.durham.sch.uk,1,1,durham,{114154}
acresfield.cheshire.sch.uk,1,1,cheshire,{111205}
acreshillschool.co.uk,0,1,,{107063}
activatearts.com,0,0,,{142457}
actonceprimary.net,0,0,,{143159}
acton.cheshire.sch.uk,1,1,cheshire,{111265}
actonhighschool.co.uk,0,1,,{101932}
acton.suffolk.sch.uk,1,1,suffolk,{124686}
adacollege.org.uk,0,1,,{143540}
adamsgs.org.uk,0,1,,"{137446,123593}"
adamsrill.lewisham.sch.uk,1,1,lewisham,{100671}
adastra.poole.sch.uk,1,1,poole,"{141755,113742}"
adcoteschool.co.uk,0,1,,{123602}
adderlane.northumberland.sch.uk,1,1,northumberland,{122230}
adderleyprimary.co.uk,0,1,,{103159}
adderleyschool.co.uk,0,1,,{123457}
addingham.bradford.sch.uk,1,1,bradford,{107286}
addisonprimary.org,0,0,,{100321}
adelaide.hull.sch.uk,1,1,hull,{117714}
adelaideschool.net,0,0,,"{131558,140457}"
adelprimary.org.uk,0,1,,{107892}
adel-st-john.leeds.sch.uk,1,1,leeds,{108041}
adeyfieldschool.org,0,0,,{117512}
adisham.kent.sch.uk,1,1,kent,{141308}
adlington.cheshire.sch.uk,1,1,cheshire,"{111018,143154}"
adlingtonprimaryschool.co.uk,0,1,,{119330}
adlingtonstpauls.lancs.sch.uk,1,1,lancs,{119460}
admirals.attrust.org.uk,0,1,,{138919}
admiralsjun.norfolk.procms.co.uk,0,1,,{120994}
adswood-pri.stockport.sch.uk,1,1,stockport,{106024}
advancededucation.co.uk,0,1,,{137868}
adwick.outwood.com,0,0,,{135963}
aeiou.co.uk,0,1,,{114165}
aeplambeth.org,0,0,,{129762}
aesessex.co.uk,0,1,,"{115358,137727}"
aesg.co.uk,0,1,,{111478}
aggs.trafford.sch.uk,1,1,trafford,{137289}
agi.havering.sch.uk,1,1,havering,{102271}
agsb.co.uk,0,1,,"{136458,106361}"
ags.bucks.sch.uk,1,1,bucks,"{136884,110511}"
ahs.bucks.sch.uk,1,1,bucks,"{136846,110494}"
ahs.me.uk,0,1,,{120731}
ahstc.net,0,0,,{125750}
ahvst.org,0,0,,{125430}
ailwyn.schoolzone.co.uk,0,1,,{110903}
aim-lc.com,0,0,,{137672}
ainderbysteepleschool.org,0,0,,{121471}
ainsdalehigh.co.uk,0,1,,{104945}
ainsdalestjohns.com,0,0,,{104903}
ainsliewood.co.uk,0,1,,{130343}
ainthorpeprimary.co.uk,0,1,,{139570}
aintreedavenhill.net,0,0,,{104868}
airedaleacademy.com,0,0,,{136613}
airedaleinfants.com,0,0,,{141522}
airedalejuniorschool.co.uk,0,1,,{141409}
airevalleyschool.org,0,0,,{107397}
aireviewinfant.org.uk,0,1,,{107273}
airevilleschool.co.uk,0,1,,{121691}
airmynparkprimaryschool.co.uk,0,1,,{117940}
airyhillprimary.com,0,0,,{121345}
aiskewleemingbar.org,0,0,,{121472}
ajkfed.com,0,0,,"{116361,116268}"
akaalprimaryschool.org,0,0,,{142109}
akivaschool.org,0,0,,{135086}
akps.org.uk,0,1,,{126297}
aks-glos.org.uk,0,1,,{115825}
alameda.beds.sch.uk,1,1,beds,{109680}
alamedamiddleschool.org.uk,0,1,,{137249}
alameenfoundation.org.uk,0,1,,{130244}
alanbrooke.n-yorks.sch.uk,1,1,n-yorks,{121326}
alaqsaschool.co.uk,0,1,,{134809}
alashraaf.org.uk,0,1,,{138980}
albanacademy.org,0,0,,{136550}
alban.beds.sch.uk,1,1,beds,{109697}
albancityschool.org.uk,0,1,,{138231}
albanwood.herts.sch.uk,1,1,herts,"{134685,144907}"
albanyacademy.co.uk,0,1,,{138544}
albany.enfield.sch.uk,1,1,enfield,{102057}
albanyinfants.co.uk,0,1,,{122547}
albanyjunior.co.uk,0,1,,{122546}
albanypru.co.uk,0,1,,{124529}
albanysciencecollege.co.uk,0,1,,{119768}
albanyvillageprimary.org.uk,0,1,,{131036}
albasmaschool.ae,0,0,,{143834}
albemarle.wandsworth.sch.uk,1,1,wandsworth,{101032}
albertbj.bham.sch.uk,1,1,bham,{103226}
albertpritchard-woodgreen.co.uk,0,1,,"{103913,103906}"
albertpye.suffolk.sch.uk,1,1,suffolk,"{124570,143492,124571,143491}"
albertthegreat.herts.sch.uk,1,1,herts,{117471}
albertvillage.leics.sch.uk,1,1,leics,"{143608,119905}"
albionacademy.co.uk,0,1,,{138418}
albionprimaryschool.co.uk,0,1,,{100774}
albournecep.co.uk,0,1,,{126014}
albrightonprimary.com,0,0,,{123410}
albury.herts.sch.uk,1,1,herts,{117419}
alcesteracademy.org.uk,0,1,,{137172}
alcestergs.co.uk,0,1,,{136622}
alcester.net,0,0,,{125770}
alcesterstnicholas.co.uk,0,1,,{139518}
alconbury.cambs.sch.uk,1,1,cambs,{110809}
aldborough.net,0,0,,{136934}
aldborough.norfolk.sch.uk,1,1,norfolk,{120777}
aldbury.herts.sch.uk,1,1,herts,{117382}
aldeburgh.suffolk.dbprimary.com,0,0,,"{124566,144211}"
alderbridge.org.uk,0,1,,{110175}
alderbrookprimaryschool.co.uk,0,1,,{100995}
alderbrookschool.com,0,0,,{104110}
alderbrook.solihull.sch.uk,1,1,solihull,{136994}
alderbury.wilts.sch.uk,1,1,wilts,{126445}
aldercarhighschool.co.uk,0,1,,{112939}
aldercarinfants.org.uk,0,1,,{112555}
aldercommunityhighschool.org.uk,0,1,,{134283}
alder.dudley.sch.uk,1,1,dudley,{103869}
aldergrange.com,0,0,,{119722}
alderholt.dorset.sch.uk,1,1,dorset,"{113752,142506}"
alderleyedgecp.cheshire.sch.uk,1,1,cheshire,{111008}
aldermanbolton.org.uk,0,1,,{133677}
aldermancogan.co.uk,0,1,,"{118053,144421}"
aldermanjacobs.cambs.sch.uk,1,1,cambs,{136653}
aldermanpayne.co.uk,0,1,,{110644}
aldermanpeel.norfolk.sch.uk,1,1,norfolk,{121170}
aldermanpounder.notts.sch.uk,1,1,notts,{122548}
aldermansgreen.coventry.sch.uk,1,1,coventry,{103638}
aldermanswindell.co.uk,0,1,,{120974}
aldermanwhite.notts.sch.uk,1,1,notts,{138832}
alderney.sch.gg,0,0,,{132514}
aldersbrook.redbridge.sch.uk,1,1,redbridge,{102823}
aldersleyhigh.org.uk,0,1,,"{139138,104404}"
alderton-inf.essex.sch.uk,1,1,essex,{114864}
alderwood.greenwich.sch.uk,1,1,greenwich,"{100112,143601}"
alderwoodpru.co.uk,0,1,,"{134918,144879}"
aldevalleyacademy.org.uk,0,1,,{141236}
aldevalley.net,0,0,,{124819}
aldingbourneprimaryschool.co.uk,0,1,,{125816}
aldington.kent.sch.uk,1,1,kent,{118365}
aldridgeschool.org,0,0,,{137974}
aldridge.walsall.sch.uk,1,1,walsall,{104263}
aldrington.brighton-hove.sch.uk,1,1,brighton-hove,{114555}
aldryngton.wokingham.sch.uk,1,1,wokingham,{109850}
aldwickbury.org.uk,0,1,,{117608}
aldworth.hants.sch.uk,1,1,hants,{116427}
aldwyn.tameside.sch.uk,1,1,tameside,{106212}
alechunter.essex.sch.uk,1,1,essex,{115221}
alechunter.org,0,0,,{139402}
alecreedacademy.co.uk,0,1,,{134369}
alexanderfirst.co.uk,0,1,,{109884}
alexanderflemingprimary.taw.org.uk,0,1,,{132086}
alexanderhoseaprimary.co.uk,0,1,,{109023}
alexandrafirst.co.uk,0,1,,{122175}
alexandra-infants.org.uk,0,1,,{140451}
alexandra-inf.bromley.sch.uk,1,1,bromley,{101586}
alexandra-jun.bromley.sch.uk,1,1,bromley,"{140080,101585}"
alexandra-jun.stoke.sch.uk,1,1,stoke,{124033}
alexandra.kingston.sch.uk,1,1,kingston,{102578}
alexandrapark.haringey.sch.uk,1,1,haringey,{131758}
alexandrapark-pri.stockport.sch.uk,1,1,stockport,{135746}
alexandraprimaryschool.org,0,0,,{140974}
alexandra-school.co.uk,0,1,,"{102262,140122}"
alexinfants.co.uk,0,1,,{124011}
alexmcleod.org.uk,0,1,,{131841}
alfalahschool.org.uk,0,1,,{133449}
alfkaufman.rochdale.sch.uk,1,1,rochdale,{105865}
alford.lincs.sch.uk,1,1,lincs,{120440}
alfredsalter.com,0,0,,{100819}
alfredstreetjunior.org,0,0,,{121857}
alfredsuttonprimary.co.uk,0,1,,{109776}
alfreton.derbyshire.sch.uk,1,1,derbyshire,{112485}
alfretongrange.co.uk,0,1,,{112931}
alfriston.e-sussex.sch.uk,1,1,e-sussex,{114385}
al-furqan-pri.bham.sch.uk,1,1,bham,{131465}
al-hijrah.co.uk,0,1,,{103590}
aliceinghamrc.rochdale.sch.uk,1,1,rochdale,{105832}
alice-smith.edu.my,0,0,,{137804}
alislah.org.uk,0,1,,{119856}
alkringtonmoss.ik.org,0,0,,{105794}
alkrington.rochdale.sch.uk,1,1,rochdale,{105786}
allansonstreetprimary.co.uk,0,1,,{104758}
allcannings.wilts.sch.uk,1,1,wilts,{126296}
allcroft.bham.sch.uk,1,1,bham,{103243}
allenbourn.dorset.sch.uk,1,1,dorset,"{113859,141757}"
allenbyprimaryschool.com,0,0,,{101891}
allendaleprimary.northumberland.sch.uk,1,1,northumberland,{122171}
allenedwards.co.uk,0,1,,{100598}
allenscn.bham.sch.uk,1,1,bham,{103130}
allenton-derby.frogos.net,0,0,,{141324}
allertonbywater.leeds.sch.uk,1,1,leeds,"{107983,143242}"
allertonceprimary.com,0,0,,{135210}
allertongrange.com,0,0,,{108058}
allertonhigh.org.uk,0,1,,{108057}
allertonprimary.co.uk,0,1,,"{144148,131541}"
allertonps.org.uk,0,1,,"{143092,107193}"
allesleyhall.co.uk,0,1,,{103656}
allesleyprimary.co.uk,0,1,,{103662}
alleyn-court.co.uk,0,1,,{115403}
alleynesacademy.co.uk,0,1,,{140123}
alleynes.staffs.sch.uk,1,1,staffs,{124417}
allfaiths.medway.sch.uk,1,1,medway,{138182}
allfarthing.org.uk,0,1,,{100996}
allhallows.lancs.sch.uk,1,1,lancs,{119802}
allhallows.medway.sch.uk,1,1,medway,{139939}
allhallows.net,0,0,,{125315}
allhallows.org.uk,0,1,,{139139}
allhallowsprimary.co.uk,0,1,,{122743}
allhallowssalford.com,0,0,,{131512}
allhallowsschool.co.uk,0,1,,{123909}
allhallowsschool.org.uk,0,1,,{107727}
allington.kent.sch.uk,1,1,kent,{139096}
allingtonprimary.co.uk,0,1,,{118855}
allingtonsedgebrook.lincs.sch.uk,1,1,lincs,{120511}
allithwaite.cumbria.sch.uk,1,1,cumbria,{112282}
allonby.cumbria.sch.uk,1,1,cumbria,{112100}
allsaints67.lancsngfl.ac.uk,0,1,,{119797}
allsaintsacademydunstable.org,0,0,,{135946}
allsaintsacademy.norfolk.sch.uk,1,1,norfolk,{141464}
allsaints-alrewas.staffs.sch.uk,1,1,staffs,{124231}
allsaintsandsharnfordschools.co.uk,0,1,,"{144113,120198,144110,120157}"
allsaintsanfield.co.uk,0,1,,{134250}
allsaints-bednall.staffs.sch.uk,1,1,staffs,{124329}
allsaintsbenhilton.org.uk,0,1,,{102990}
all-saints.bolton.sch.uk,1,1,bolton,{105238}
allsaints.bradford.sch.uk,1,1,bradford,{107302}
allsaints.cambs.sch.uk,1,1,cambs,{139537}
allsaintscarshalton.sutton.sch.uk,1,1,sutton,"{103004,144941}"
allsaintscatholiccollege.com,0,0,,{139735}
allsaintscejunioracademy.org,0,0,,{141655}
allsaintsce.lbhf.sch.uk,1,1,lbhf,{100344}
allsaintsceprimary.co.uk,0,1,,{116326}
all-saints-ce-primary.devon.sch.uk,1,1,devon,"{143186,113426}"
allsaintsceprimaryschoolandnursery.co.uk,0,1,,{125653}
allsaintsceprimaryschool.net,0,0,,{111314}
allsaintsce.rochdale.sch.uk,1,1,rochdale,{105829}
allsaintschs.org.uk,0,1,,{135479}
allsaints-clm.lancs.sch.uk,1,1,lancs,"{119448,137641}"
allsaintscockermouth.org.uk,0,1,,{112272}
allsaintscofe.co.uk,0,1,,{103702}
allsaintscofe.lancs.sch.uk,1,1,lancs,{119464}
allsaints-denstone.staffs.sch.uk,1,1,staffs,{124246}
allsaints.dorset.sch.uk,1,1,dorset,"{113896,144564}"
allsaintsdulverton.co.uk,0,1,,{123754}
allsaintsfleet.co.uk,0,1,,{116358}
allsaints-fordham.essex.sch.uk,1,1,essex,{115078}
allsaintsgreatoakley.org.uk,0,1,,{115141}
allsaints-harwich.essex.sch.uk,1,1,essex,{115203}
allsaintsharworth.co.uk,0,1,,{141536}
allsaints.herts.sch.uk,1,1,herts,{117472}
allsaintshwb.co.uk,0,1,,{119566}
allsaintsib.org,0,0,,{139606}
allsaintsilkley.bradford.sch.uk,1,1,bradford,{107309}
allsaintsinfants.eriding.net,0,0,,{117979}
allsaints-inf.wilts.sch.uk,1,1,wilts,{126323}
allsaints-jun.derbyshire.sch.uk,1,1,derbyshire,"{112837,144067}"
allsaints-jun.e-sussex.sch.uk,1,1,e-sussex,{114573}
allsaintsjuniorschoolreading.co.uk,0,1,,{137281}
allsaints-jun.org.uk,0,1,,{117978}
allsaints-leek.staffs.sch.uk,1,1,staffs,{124341}
allsaints-leekwootton.warwickshire.sch.uk,1,1,warwickshire,{130976}
allsaints-leigh.staffs.sch.uk,1,1,staffs,{124256}
allsaintslessingham.co.uk,0,1,,{121250}
allsaints.lewisham.sch.uk,1,1,lewisham,{100719}
all-saints.lincs.sch.uk,1,1,lincs,{120504}
allsaintsmaidenhead.org.uk,0,1,,{109991}
allsaints-marsh.ik.org,0,0,,"{142251,113466}"
allsaintsmat.school,0,0,,{138883}
allsaints.medway.sch.uk,1,1,medway,"{118639,142137}"
allsaintsn20.barnet.sch.uk,1,1,barnet,{101329}
allsaints-netheravon.wilts.sch.uk,1,1,wilts,"{140699,126389}"
allsaints.newcastle.sch.uk,1,1,newcastle,{133302}
allsaintsnh-pri.manchester.sch.uk,1,1,manchester,{105505}
allsaints-normanton.wakefield.sch.uk,1,1,wakefield,{108259}
allsaints-northhykeham.lincs.sch.uk,1,1,lincs,{120533}
allsaints.notts.sch.uk,1,1,notts,"{140698,122900}"
allsaintsnw2.barnet.sch.uk,1,1,barnet,{101315}
allsaints.n-yorks.sch.uk,1,1,n-yorks,{121657}
all-saints.oxon.sch.uk,1,1,oxon,{123228}
allsaints.peterborough.sch.uk,1,1,peterborough,{110852}
allsaints-pri.manchester.sch.uk,1,1,manchester,{105480}
allsaintsprimary.com,0,0,,{120206}
allsaintsprimaryfreshwater.co.uk,0,1,,{118185}
allsaintsprimarynorthants.org,0,0,,{122096}
allsaintsprimary.org,0,0,,{124706}
allsaintsprimaryschool.co.uk,0,1,,{132208}
allsaintsprimaryschoolmaldon.co.uk,0,1,,{115103}
allsaintsprimarywellingborough.co.uk,0,1,,{121998}
allsaints-pri.stockport.sch.uk,1,1,stockport,{106102}
allsaintsranton.co.uk,0,1,,{124302}
allsaints.reading.sch.uk,1,1,reading,{109945}
allsaintsschbedworth.co.uk,0,1,,{125688}
allsaints-sch.co.uk,0,1,,{103990}
allsaintsschoolclevedon.co.uk,0,1,,{109224}
allsaintsschool.co.uk,0,1,,{101247}
allsaintsschoolcroydon.org,0,0,,{101787}
allsaintsschoolhalifax.co.uk,0,1,,{107569}
allsaints.sheffield.sch.uk,1,1,sheffield,"{138337,107160}"
allsaints-standon.staffs.sch.uk,1,1,staffs,{124274}
allsaints.stockport.sch.uk,1,1,stockport,{106103}
allsaints.suffolk.sch.uk,1,1,suffolk,{124761}
allsaintsthurlestone.co.uk,0,1,,"{144074,113469}"
allsaints-tilford.surrey.sch.uk,1,1,surrey,{125198}
allsaints.trafford.sch.uk,1,1,trafford,{106347}
allsaints-trysull.staffs.sch.uk,1,1,staffs,{124280}
allsaintsva.co.uk,0,1,,{132809}
allsaintsvcmiddle.suffolk.sch.uk,1,1,suffolk,{124857}
allsaints.wakefield.sch.uk,1,1,wakefield,"{108257,143960}"
allsaints.wandsworth.sch.uk,1,1,wandsworth,{101034}
allsaintswarwick.co.uk,0,1,,{125666}
allsaints.wilts.sch.uk,1,1,wilts,{126419}
allsaints.w-sussex.sch.uk,1,1,w-sussex,{133321}
allsaints.york.sch.uk,1,1,york,{121720}
allsoulsce.rochdale.sch.uk,1,1,rochdale,{105811}
allsouls.kent.sch.uk,1,1,kent,{118870}
allsoulsprimary.co.uk,0,1,,{101121}
allsoulsschool.co.uk,0,1,,{103724}
almadinahschool.co.uk,0,1,,{138776}
almapark.manchester.sch.uk,1,1,manchester,{105389}
almaprimary.org,0,0,,{139562}
almaprimaryschool.org.uk,0,1,,{102012}
almeley.hereford.sch.uk,1,1,hereford,{116645}
almondburycs.org.uk,0,1,,{107758}
almondhill.herts.sch.uk,1,1,herts,{117221}
almondsburyprimary.co.uk,0,1,,{109157}
almumin.bradford.sch.uk,1,1,bradford,{134429}
alne.n-yorks.sch.uk,1,1,n-yorks,{121369}
alnoorcollege.co.uk,0,1,,{136037}
al-noor.co.uk,0,1,,{134244}
alns.co.uk,0,1,,"{140697,116476}"
aloeric.wilts.sch.uk,1,1,wilts,"{144704,126474}"
alperton.brent.sch.uk,1,1,brent,"{138610,101562}"
alpha.harrow.sch.uk,1,1,harrow,{102250}
alphington.devon.sch.uk,1,1,devon,"{113073,143188}"
alpington.norfolk.sch.uk,1,1,norfolk,{121147}
alsagerhighfields.cheshire.sch.uk,1,1,cheshire,{111032}
alsagerschool.co.uk,0,1,,{111404}
alsagerschool.org,0,0,,{140108}
alsophighschool.co.uk,0,1,,{104693}
alsson.com,0,0,,{133027}
alston.bham.sch.uk,1,1,bham,"{140656,131135}"
alston.lancsngfl.ac.uk,0,1,,{119635}
alstonmoorfederation.org.uk,0,1,,"{112101,112116}"
altarnunprimary.org.uk,0,1,,{140839}
altham.lancs.sch.uk,1,1,lancs,{119577}
althorpe.northlincs.dbprimary.com,0,0,,{117726}
altmore.newham.sch.uk,1,1,newham,{102709}
altoftsjuniorschool.co.uk,0,1,,{108208}
alt.oldham.sch.uk,1,1,oldham,{105682}
altoncollege.ac.uk,0,1,,{130691}
altonconvent.org.uk,0,1,,{116537}
altonparkjunior.org.uk,0,1,,"{142685,114721}"
altprep.co.uk,0,1,,{106379}
altrinchamceprimaryschool.co.uk,0,1,,{106341}
altrinchamcollege.com,0,0,,{138614}
alt.theharmonytrust.org,0,0,,{141333}
altwoodschool.co.uk,0,1,,"{110080,138342}"
alumwell-i.walsall.sch.uk,1,1,walsall,{104143}
alumwelljuniorschool.co.uk,0,1,,{104142}
alvanleyandmanleyfederatedschools.cheshire.sch.uk,1,1,cheshire,{110999}
alvastoninfant.org.uk,0,1,,{112744}
alvastonjandvillagefed.co.uk,0,1,,{135116}
alvastonj.derby.sch.uk,1,1,derby,{112743}
alvechurchmiddle.co.uk,0,1,,"{143507,116983}"
alveley.shropshire.sch.uk,1,1,shropshire,{123353}
alverstoke-inf.hants.sch.uk,1,1,hants,{116169}
alverstoke-jun.hants.sch.uk,1,1,hants,{116392}
alverthorpe.eschools.co.uk,0,1,,{108253}
alvertoncommunityprimaryschool.co.uk,0,1,,{121368}
alverton.org.uk,0,1,,"{111806,142240}"
alvestoncofeprimary.co.uk,0,1,,{125623}
alwoodleyprimary.net,0,0,,{107912}
alwyn.org.uk,0,1,,{109818}
ambergateprimaryschool.wordpress.com,0,0,,{112786}
amberley.gloucs.sch.uk,1,1,gloucs,{115689}
amberleyprimary.co.uk,0,1,,{108586}
amberley.w-sussex.sch.uk,1,1,w-sussex,{125970}
ambitiousaboutautism.org.uk,0,1,,{141243}
amblecote.dudley.sch.uk,1,1,dudley,{103806}
amble.firstschool.org.uk,0,1,,{122174}
amblelinks.northumberland.sch.uk,1,1,northumberland,{122173}
ambler.doncaster.sch.uk,1,1,doncaster,{130973}
ambler.islington.sch.uk,1,1,islington,{100397}
ambleside.cumbria.sch.uk,1,1,cumbria,"{141978,112374}"
amblesideprimaryschool.co.uk,0,1,,{138800}
amersham.bucks.sch.uk,1,1,bucks,{110509}
amershamschool.org.uk,0,1,,{137343}
ameryhill.hants.sch.uk,1,1,hants,"{116409,137535}"
amesburyarcher.wilts.sch.uk,1,1,wilts,{133775}
amesbury-inf.wilts.sch.uk,1,1,wilts,{126174}
amesbury.wilts.sch.uk,1,1,wilts,"{143008,131215}"
amherst.kent.sch.uk,1,1,kent,"{118281,136499}"
amherstprimary.org,0,0,,{134188}
amingtonheath.staffs.sch.uk,1,1,staffs,{124176}
amotherby.n-yorks.sch.uk,1,1,n-yorks,{121370}
ampneycrucis.gloucs.sch.uk,1,1,gloucs,{115673}
amport.hants.sch.uk,1,1,hants,{116348}
amwell.herts.sch.uk,1,1,herts,{117684}
amyjohnson.sutton.sch.uk,1,1,sutton,{102988}
