domain,schdomain,ukdomain,county,urns
calverleycofeprimaryschool.co.uk,0,1,,{107996}
calverleyparkside.leeds.sch.uk,1,1,leeds,{107826}
calverton.newham.sch.uk,1,1,newham,{102758}
cam.ac.uk,0,1,,{133801}
cambiangroup.com,0,0,,"{142322,130386,140227,134179,140205,131033,140615,138881,141879,135557,140273,139220,116588,135990,116564,131921,117030,134660,113950,132082,116593,131855,116565,135803,133429,134781,131868,135424,135772,131455,131802,131171}"
camblesforth.n-yorks.sch.uk,1,1,n-yorks,{121441}
cambois.northumberland.sch.uk,1,1,northumberland,{122179}
camborne-comm-coll.cornwall.sch.uk,1,1,cornwall,{112053}
cambornescience.co.uk,0,1,,{136524}
camboschool.com,0,0,,{122232}
cambournevc.org,0,0,,{139408}
cambridge.cumbria.sch.uk,1,1,cumbria,{134117}
cambridgeheath.towerhamlets.sch.uk,1,1,towerhamlets,{136096}
cambridgeinternationalschool.co.uk,0,1,,{135184}
cambridgepark.co.uk,0,1,,{137363}
cambridgepark.nelincs.sch.uk,1,1,nelincs,{118152}
cambridgeroad.school.cheshire.org.uk,0,1,,{111084}
cambridge-steiner-school.co.uk,0,1,,{131937}
cam.coop,0,0,,{136174}
camdengirls.camden.sch.uk,1,1,camden,{100054}
cameleyprimaryschool.org,0,0,,{109186}
camelford.cornwall.sch.uk,1,1,cornwall,{111927}
camelotprimaryschool.co.uk,0,1,,{100780}
camelsdale.w-sussex.sch.uk,1,1,w-sussex,{125821}
camertonchurchschool.co.uk,0,1,,{109187}
camestoneschool.co.uk,0,1,,{109462}
cameverlands.org.uk,0,1,,{115578}
camhopton.gloucs.sch.uk,1,1,gloucs,{115676}
camhouseschool.ik.org,0,0,,{115817}
camms.derbyshire.sch.uk,1,1,derbyshire,{112882}
camp.herts.sch.uk,1,1,herts,{117136}
camphillboys.bham.sch.uk,1,1,bham,"{103554,137045}"
camphillprimary.co.uk,0,1,,{132059}
campion.edu.gr,0,0,,{142653}
campion.havering.sch.uk,1,1,havering,{102350}
campion.northants.sch.uk,1,1,northants,"{122063,137087}"
campion.warwickshire.sch.uk,1,1,warwickshire,{137766}
campshill.herts.sch.uk,1,1,herts,"{143786,117226}"
campsmount.com,0,0,,{138116}
camptonlower.org,0,0,,{109441}
camre.ac.uk,0,1,,{130610}
camrose.harrow.sch.uk,1,1,harrow,{102188}
camshill.com,0,0,,"{137538,116508}"
camslane.bury.sch.uk,1,1,bury,{105305}
camwoodfield-junior.uk,0,1,,{115742}
canadahill.devon.sch.uk,1,1,devon,{113245}
